Category 1,Quality,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wine,Standard,DF Spain,,,,,3.3,4.9,6.2,6.0,6.8,5.2,5.9,7.0,4.7,8.3,10.3,11.5,12.5,13.5,15.3,13.5,13.9,16.9,12.3,12.1,12.1,13.1,15.0
Wine,Standard,Switzerland,3.5,3.5,3.5,3.0,4.5,4.3,4.5,3.5,4.0,5.5,5.7,6.7,6.8,7.5,7.5,7.3,7.3,7.5,9.3,9.1,9.2,10.0,9.9,9.6,11.2,11.3,14.6
Wine,Standard,DF Rest of Central & Eastern Europe,,,,,,,,,,,,2.7,1.0,0.9,1.0,1.3,1.6,2.2,2.9,3.1,5.3,8.9,9.6,10.5,13.6,14.0,14.3
Wine,Standard,Brazil,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,3.3,6.0,8.3,9.3,9.3,5.8,4.3,3.3,5.7,6.7,7.4,9.6,11.0,14.0
Wine,Standard,Canary Islands,1.5,1.8,1.8,1.5,1.5,1.5,1.5,2.0,2.0,3.0,4.8,8.3,9.3,14.3,13.3,12.5,12.5,9.5,9.7,7.0,7.4,5.9,7.2,7.7,9.7,10.4,11.5
Wine,Standard,Thailand,0.8,0.5,0.5,0.8,0.6,0.7,0.8,1.5,2.0,3.8,3.5,3.5,4.5,4.8,7.8,4.5,4.0,3.7,4.0,3.0,3.8,4.3,5.4,4.0,5.3,6.5,11.5
Wine,Standard,DF Turkey,,,,,,,,,,,1.3,1.1,1.0,2.0,2.0,2.2,2.1,2.2,6.9,7.1,8.3,13.2,14.1,11.8,13.6,10.4,11.5
Wine,Standard,DF Gulf - (All Countries),,,,,,,,,,,5.3,5.3,3.3,3.0,3.5,4.2,4.0,4.3,4.9,3.6,5.5,6.6,7.7,7.8,8.8,9.2,10.7
Wine,Standard,DF Netherlands,,,,,5.5,6.0,6.0,6.0,6.3,4.9,3.5,3.5,3.7,3.7,3.6,3.6,4.3,4.8,6.7,7.2,9.7,8.6,9.6,9.6,9.5,9.7,9.4
Wine,Standard,Others,42.3,45.4,46.6,50.0,56.4,58.9,61.5,62.4,69.1,61.6,54.1,57.3,53.7,62.7,64.5,71.6,81.2,87.6,97.5,87.7,110.0,145.1,140.5,145.7,138.5,133.4,158.2
Wine,Premium,Total ,126.8,140.3,136.9,144.8,161.5,169.6,196.1,205.4,210.4,197.7,194.6,211.5,213.3,192.6,191.8,189.3,208.3,221.6,241.9,217.9,249.4,275.3,288.8,318.0,368.5,482.6,651.7
Wine,Premium,United States,7.5,8.3,8.0,8.0,12.0,14.5,19.0,18.5,16.0,18.0,17.3,18.0,19.9,20.7,20.1,20.3,34.5,41.3,38.5,31.5,34.2,37.5,49.3,52.8,82.3,167.3,268.3
Wine,Premium,Ireland,32.0,33.0,30.0,32.0,31.0,29.0,30.2,31.7,32.3,35.1,34.8,37.5,36.6,30.8,29.9,28.3,25.7,27.2,24.2,22.6,26.0,28.1,24.6,24.7,31.4,46.4,57.6
Wine,Premium,Germany,0.0,0.0,0.0,0.0,0.3,0.8,2.8,3.4,2.9,3.7,4.6,5.7,5.7,6.5,7.6,7.8,8.4,10.7,10.2,10.6,12.7,18.6,19.0,28.8,33.3,40.4,43.5
Wine,Premium,France,,,,2.0,3.0,5.0,9.0,12.0,16.0,19.0,24.0,27.0,28.0,20.0,19.0,17.8,15.8,18.8,22.0,18.5,17.3,15.5,15.8,16.0,19.5,28.3,33.3
Wine,Premium,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.9,0.9,0.9,1.7,1.9,3.5,3.0,4.0,4.0,7.5,9.5,8.3,10.0,14.7,17.0,25.5
Wine,Premium,DF British Isles (Inc. Ireland),31.5,36.0,37.4,40.3,46.6,50.9,57.3,58.7,56.0,31.8,26.7,30.1,22.2,19.2,18.6,18.2,15.5,14.8,14.9,16.0,13.9,14.0,14.2,12.0,14.9,18.5,23.7
Wine,Premium,Canada,1.2,1.3,1.0,1.2,1.9,2.3,2.5,3.1,3.2,4.2,4.8,5.0,5.3,6.1,6.8,6.8,7.3,7.7,8.4,8.8,9.4,10.5,10.6,10.8,11.0,14.4,18.2
Wine,Premium,United Kingdom,35.0,38.0,34.5,34.5,33.0,29.0,29.0,27.0,25.0,27.5,28.0,29.8,31.5,32.0,31.5,32.0,34.0,29.5,28.5,24.5,26.3,22.0,12.2,14.3,10.5,10.0,14.7
Wine,Premium,Russia,,,,,,,,,,,,,,0.0,0.3,2.7,4.8,5.8,10.8,8.1,11.3,14.5,20.0,20.0,18.7,13.3,13.5
Wine,Premium,DF Germany,3.5,3.5,3.5,2.5,3.5,3.7,5.5,6.0,7.7,3.5,2.0,3.0,5.3,5.1,5.0,4.7,5.2,5.3,5.4,4.3,4.5,4.1,3.3,5.0,7.6,8.1,9.5
Wine,Premium,DF Nordic Countries - (All Countries),0.5,1.5,1.5,1.5,1.7,2.7,3.0,3.5,6.7,6.2,5.4,4.3,6.5,6.3,5.4,4.1,4.9,4.0,6.7,5.7,5.5,6.8,5.5,7.4,9.4,9.1,9.4
Wine,Premium,Bulgaria,,,,,,,,,,,,0.0,0.1,0.9,1.0,1.0,2.1,3.2,6.1,4.4,5.6,5.3,5.6,6.8,7.7,8.1,9.0
